3.1041545054943698__Austin Meadows
3.1071956471133166__Yoenis Cespedes
3.1086744665639845__Ji-Man Choi
3.1121503575953797__Tommy Pham
3.11218782549613__Omar Narvaez
3.1125184610574994__David Dahl
3.115996988889435__Evan Longoria
3.1195591916831362__Franmil Reyes
3.1215472842025087__Tommy La Stella
3.123200365356276__Ender Inciarte
3.1234144442159755__Devon Travis
3.123545916230219__Yandy Diaz
3.124960161534649__Raudy Read
3.1252529354203364__Nick Senzel
3.1254323398962627__David Fletcher
3.1276015973232423__Devin Mesoraco
3.1278652987553417__Mark Trumbo
3.1280687154261604__Neil Walker
3.1291725684567098__Billy McKinney
3.12964200037608__Todd Frazier
3.130786793015838__Luis Barrera
3.131416290599096__Eduardo Escobar
3.1316009619282985__Brock Holt
3.1328342632761363__Jose Reyes
3.1329451987413526__Kevin Plawecki
3.133509359877291__Cedric Mullins II
3.1338743795019726__Rowdy Tellez
3.13455811366478__Ty France
3.1355356185290892__Carson Kelly
3.1388056097151953__Justin Upton
3.141119174418862__Matt Wieters
3.1413754920660812__Jeimer Candelario
3.142148621651291__Tucker Barnhart
3.1438955909619724__Jose Osuna
3.1439003306637736__Jesus Sanchez
3.1446256324305497__Adam Jones
3.1454495848344672__Kelvin Gutierrez
3.1482294471551437__Cesar Hernandez
3.1515327495646646__Travis d'Arnaud
3.1517683256573066__Francisco Cervelli
3.1518321577533577__Ronald Guzman
3.1529921147099564__Randal Grichuk
3.153400900884823__Johan Camargo
3.1540375325918144__Domingo Leyba
3.155703281621705__Scooter Gennett
3.1570968418591425__Lonnie Chisenhall
3.1576441175790757__Matt Beaty
3.1602525736788807__Javier Baez
3.1603352700812453__Carlos Gonzalez
3.162351047687156__Addison Russell
3.163708842641692__Bryan Reynolds
3.1637266342541546__Jacoby Ellsbury
3.1655053433955365__Starling Marte
3.167251413193708__Colin Moran
3.1687866249414394__Odubel Herrera
3.1695691646603277__Luis Arraez
3.170190259771157__Mike Tauchman
3.1708306505459887__Victor Caratini
3.1709298115129108__Brandon Nimmo
3.1717494123957146__Victor Robles
3.1720989148754106__Isiah Kiner-Falefa
3.173711552503654__Paul DeJong
3.1738804637383105__Clint Frazier
3.1746426716760046__Jorge Soler
3.175468146320323__Daniel Descalso
3.1755487090467893__Marco Hernandez
3.175935744573493__Guillermo Heredia
3.1777530734633213__Nicky Delmonico
3.178612410999951__Eric Thames
3.1796268562424763__Hunter Renfroe
3.1806790640935034__Russell Martin
3.1808955667735535__Daniel Robertson
3.184597131541926__D.J. Stewart
3.1862224204402643__Kevan Smith
3.1876005111233514__Wil Myers
3.187925651138036__Whit Merrifield
3.1895799275424084__Matt Duffy
3.1903520867779394__Ian Desmond
3.1914692864217877__Ronald Torreyes
3.1920371837232944__J.P. Crawford
3.1926495339958443__Brian Anderson
3.192842201573716__Elias Diaz
3.1929198241006884__Trey Mancini
3.1931860064019006__Yonathan Daza
3.1933435520791935__Josh Harrison
3.1938090681303075__Jose Iglesias
3.194356465885192__Logan Forsythe
3.1971296876906834__Anthony Santander
3.202272680980718__Mitch Garver
3.2087736215844282__Taylor Ward
3.2117465667724026__Austin Dean
3.2120651535545126__Tony Wolters
3.212536639456032__Albert Almora Jr.
3.213289349134495__Kevin Pillar
3.2152230174184684__Ramon Urias
3.220819124359254__Christian Vazquez
3.221890402780894__Austin Barnes
3.2233696329732666__Joe McCarthy
3.2257799821929356__Zack Granite
3.228492626426139__Ryan McMahon
3.23120415856472__Howie Kendrick
3.232750023141428__Mark Canha
3.2350621076895747__Brandon Crawford
3.235309798338543__Tyler O'Neill
3.2354504561453177__Ryon Healy
3.236513577381708__Manuel Margot
3.2435824138082476__Lourdes Gurriel Jr.
3.2439957986068313__Cam Gallagher
3.244115683556307__Matt Holliday
3.244821036552351__Jose Lobaton
3.250324589372199__Dansby Swanson
3.253454589097852__Miguel Sano
3.2548628143393943__Raimel Tapia
3.2569005500367925__Derek Dietrich
3.257247356904556__Nick Dini
3.2583227259204364__Yairo Munoz
3.258622598698442__Isan Diaz
3.2589776126025294__Jace Peterson
3.2595908137756258__Dustin Fowler
3.259827476351212__Jarrod Dyson
3.261277279808791__Ildemaro Vargas
3.2622221132367244__Ehire Adrianza
3.2641627202995545__Ramon Laureano
3.2650536726534725__Josh Phegley
3.2677642802036067__Renato Nunez
3.2689983727375087__Rio Ruiz
3.2690323063773246__Jose Trevino
3.269130192932021__Ian Happ
3.2708523662751414__Steven Souza Jr.
3.274077802101804__A.J. Reed
3.274661833991438__Curtis Granderson
3.2776618061295997__Miguel Rojas
3.281318475490285__Ben Gamel
3.283790990962964__Avisail Garcia
3.2841824265921473__Tyler Flowers
3.285696972129865__Ryan O'Hearn
3.2857968133607534__Greg Garcia
3.2860419409354225__Luis Urias
3.2916336192110904__Garrett Stubbs
3.292025170883986__Chris Young
3.2920281718157094__Keibert Ruiz
3.294461668246302__Luis Rengifo
3.297166145769674__Breyvic Valera
3.3016505163373315__Martin Prado
3.301790480708909__Hanser Alberto
3.3028116581129416__Nick Martini
3.303148674925387__Preston Tucker
3.3058795936531853__Noel Cuevas
3.306012923681607__Reese McGuire
3.306221940442255__Pablo Reyes
3.310298729726825__Pat Valaika
3.310683234754671__Tyler Naquin
3.3107188812959025__Francisco Mejia
3.3108925117252066__Adam Duvall
3.311212411246408__Nick Williams
3.3112194237123465__Mauricio Dubon
3.3129311661184246__Kevin Newman
3.313102507915768__Nick Ahmed
3.314653243938814__Max Moroff
3.314929054251251__Andrew Knizner
3.317350447732137__David Freese
3.320898686031381__Christian Walker
3.3213764376041373__Matt Thaiss
3.3220277653979418__Wilmer Difo
3.3233949930029016__Brad Miller
3.3263570735045147__Starlin Castro
3.327369607185296__Freddy Galvis
3.3291490765273553__Kevin Kiermaier
3.329433710916124__Phillip Ervin
3.334791848402387__Austin Wynns
3.3361914599834206__David Freitas
3.3363753132889853__Kyle Farmer
3.3369558850440897__Brandon Phillips
3.338911449654263__Chris Herrmann
3.3391229479601865__Austin Romine
3.3395100765983203__Jacob Nottingham
3.339842403513563__Brandon Drury
3.3399282886344563__David Bote
3.3399453860235573__Jose Pirela
3.343618640291302__Delino DeShields
3.343810174315535__Hernan Perez
3.348207015653621__Connor Joe
3.3490713947394037__Alex Gordon
3.3491220816121645__Teoscar Hernandez
3.349908740341467__Joey Rickard
3.3504587635136227__Yolmer Sanchez
3.3528717152787557__Jhonatan Solano
3.353248957918905__Alex Blandino
3.353563069814503__Orlando Arcia
3.35485346816862__Cameron Maybin
3.3554132508896006__Pablo Sandoval
3.3590927602891307__Austin Hays
3.3636966343227725__Mallex Smith
3.367713879393289__Max Stassi
3.368034450142054__Mark Zagunis
3.370683999016476__Garrett Cooper
3.375561256285041__Jason Castro
3.3766866994549747__Grayson Greiner
3.3803299158868163__Daniel Palka
3.380476778494638__Andy Young
3.3840024933297568__Joey Wendle
3.3843285685598037__Dylan Moore
3.3852991715778336__Chris Taylor
3.3863358145900793__J.D. Davis
3.3874230533923066__Arquimedes Gamboa
3.391536591299982__Welington Castillo
3.392784180628232__Leonys Martin
3.3931203705012543__Yoan Moncada
3.3943790893727264__Jon Jay
3.3945003014222__Willy Adames
3.3968107178931803__Erik Kratz
3.397062667120841__Roberto Perez
3.3972281500925265__Skye Bolt
3.3977048237707983__Terrance Gore
3.3983266999570896__Jason Vosler
3.3986533066761675__Manny Pina
3.3987456891018932__Yu Chang
3.399258083141956__Martin Maldonado
3.4004142988323784__Dee Gordon
3.4016888831039123__Jacob Stallings
3.4031235989923814__Ryder Jones
3.4040951069226173__Luis Guillorme
3.4047457401619834__Edwin Rios
3.405065621968741__Tyler Austin
3.40716287584431__Greg Allen
3.4077438000935767__Sandy Leon
3.410457955903548__Amed Rosario
3.412170729202933__Richie Martin
3.412448535441961__Chad Pinder
3.412543021912713__Mikie Mahtook
3.4152946723276334__Curt Casali
3.415313194660445__Yan Gomes
3.4157811283369206__Jorge Bonifacio
3.418037846210157__Gerardo Parra
3.421615495831252__Aaron Altherr
3.4235363996267476__Niko Goodrum
3.424412911136514__Robinson Chirinos
3.424654160075201__Jonathan Villar
3.425037983150626__Byron Buxton
3.428059473772031__Michael Perez
3.4284025396345355__Andrew Toles
3.4318096216884926__Alcides Escobar
3.433185467107105__Jose Briceno
3.4370247883388343__Meibrys Viloria
3.437532172477677__Adeiny Hechavarria
3.437681419389301__Domingo Santana
3.439678153774859__Oscar Mercado
3.439825709211081__Jose Rondon
3.4413418608263506__Scott Kingery
3.441669208763135__Blake Swihart
3.4447869130732527__Caleb Joseph
3.4478127808206733__J.T. Riddle
3.447886431410363__Adalberto Mondesi
3.4483185716314613__Ronny Rodriguez
3.44933093417192__Kyle Higashioka
3.449757714615179__Tyrone Taylor
3.451780714336883__Chris Owings
3.4531370053582817__Michael Reed
3.4564721561213942__Victor Reyes
3.4573226164989475__Beau Taylor
3.4577298676222417__Josh Fuentes
3.458286482631593__Spencer Kieboom
3.4594185089325515__Jake Cave
3.4652509169666366__Austin Hedges
3.4673549196269593__Luke Maile
3.4705442552909576__Harrison Bader
3.472308216033608__Alex Avila
3.4737800607527136__Andrew Knapp
3.478268215557516__Edmundo Sosa
3.4806691230459537__Mike Zunino
3.481865828430651__Austin Slater
3.482062398633581__Juan Lagares
3.4830611442541572__Brian Goodwin
3.4847071090061266__Nick Gordon
3.485520451167894__Luis Torrens
3.4856970895159276__Bobby Wilson
3.489943572541017__Austin Riley
3.490614812772526__Jeff Mathis
3.4911583066905463__Roman Quinn
3.491245887422686__Rocky Gale
3.494707864233847__Nick Hundley
3.4970186580104734__Joey Curletta
3.4995336537070947__Drew Robinson
3.500181121287369__Aramis Garcia
3.5004785244342425__Chris Davis
3.502038173790496__Mitch Walding
3.5023781022115363__Chance Sisco
3.504952311200078__John Hicks
3.506328528867412__Jake Marisnick
3.5070105989056066__Mac Williamson
3.507320079117118__Seby Zavala
3.507992744110509__Derek Fisher
3.5087521439415603__Drew Jackson
3.509048632170649__Jonathan Davis
3.5106017377611574__Michael Hermosillo
3.5107113372149144__Billy Hamilton
3.5111995660292257__Tyler Saladino
3.511637248626572__Rene Rivera
3.512187235745063__Zack Collins
3.5123457723550326__Eric Haase
3.5135612446322617__Adrian Sanchez
3.5137899874393788__Adam Engel
3.5167431075201447__Raffy Lopez
3.518870485763306__John Ryan Murphy
3.5197541402376__Brett Phillips
3.519788471084485__Matt Davidson
3.520994199019625__Dylan Cozens
3.521142754386002__Luis Alexander Basabe
3.5215183631984988__Chad Wallach
3.5228793536413003__James McCann
3.5229092800245354__Bradley Zimmer
3.523114872452308__Tim Beckham
3.523184881676447__Steve Wilkerson
3.52331562442032__Charlie Culberson
3.5241904234106967__Jason Martin
3.5242583338303883__Drew Ferguson
3.5253435533222297__Franklin Barreto
3.5256764969187784__Andrew Romine
3.5257008758005686__Rosell Herrera
3.5265072576971876__Abiatal Avelino
3.5274536295575056__Tim Anderson
3.528360225118599__Cory Spangenberg
3.5289005516161476__Patrick Wisdom
3.5289353807119017__Peter O'Brien
3.529468930908677__Lewis Brinson
3.5298362503894944__Carlos Gomez
3.532079052790258__Carlos Tocci
3.532920716942002__Tyler Wade
3.5344779156587203__Kevin Cron
3.53476358548326__Chris Shaw
3.535580481821625__Anthony Alford
3.537167817830629__Hunter Dozier
3.537604439546643__Adolis Garcia
3.5377951708431405__Tom Murphy
3.5388937302877594__Alex Jackson
3.539447348912592__Nick Ciuffo
3.5401166994905533__JaCoby Jones
3.541255883422269__Keon Broxton
3.5414760720814393__Kevin Kramer
3.543463647272607__Richard Urena
3.545277202806691__Keston Hiura
3.547796114905195__Steven Duggar
3.5504067253364977__Sergio Alcantara
3.551180713345753__Leury Garcia
3.55255778892258__Bobby Bradley
3.5526311286678296__Socrates Brito
3.5532922869392896__Rajai Davis
3.5542666588892367__Brandon Dixon
3.555248065607014__Jorge Alfaro
3.555433714837663__Cole Tucker
3.557215783031348__Eric Stamets
3.5601195541197828__Michael A. Taylor
3.5618978173845526__Austin Jackson
3.5627328867939685__Travis Jankowski
3.563712014690092__Andrew Stevenson
3.5663535182711446__Fernando Tatis Jr.
3.567184955270435__Willi Castro
3.570756832966284__Ryan Cordell
3.571551514805598__Sam Travis
3.57179695389897__Christian Arroyo
3.571995195823882__Sam Hilliard
3.5735299888556695__T.J. Rivera
3.5785929347883587__Alen Hanson
3.578946694571582__Erik Gonzalez
3.5826141166684584__Tomas Nido
3.5831846050379736__Magneuris Sierra
3.5836681162547768__Javier Guerra
3.584932307706004__Taylor Davis
3.5882885140214755__Franchy Cordero
3.5958283390704007__Kristopher Negron
3.6065092492118005__Austin Allen
3.606615497817481__Tim Locastro
3.606795395536988__Gordon Beckham
3.608510308685767__Corban Joseph
3.6182823186451754__Blake Trahan
3.621048692089629__Kaleb Cowart
3.6218008131201382__Braden Bishop
3.6222529430956234__Dawel Lugo
3.6230319546195187__Lane Thomas
3.6230935906245736__Dominic Smith
3.6235869767098032__Dalton Pompey
3.62388971196319__Shed Long
3.623921043440381__Troy Stokes Jr.
3.624091815779391__Tzu-Wei Lin
3.624219513960305__Justin Williams
3.624681911824915__Ke'Bryan Hayes
3.6259215770260425__Carter Kieboom
3.6260023041519__Scott Heineman
3.6263806349803365__Nick Solak
3.6429414019492294__Monte Harrison
3.6431214703034938__Andrew Velazquez
3.643748967014373__Jose Siri
3.6847957004668963__Jorge Mateo
4.242962670713224__Saul Torres
4.246348048535049__Adderlin Santana
4.253777388144998__Andres Rosario
4.254754918888075__Adrian Antunez
4.254844387499736__Omar Martinez
4.257030159442273__Jhan Rodriguez
4.258352070367126__Hector Vizcaino
4.258409467442357__Carlos Medrano
4.258919176667877__D.J. Daniels
4.259619219236926__Nerio Rodriguez
4.260047309925961__Ronny Rojas
4.262023209685645__Andy Garcia
4.262099872428934__Nelson Medina
4.262579016521114__Juan Morales
4.2644668882361865__Raffy Ozuna
4.265210943465095__Nonie Williams
4.265868505566727__Andres Parra
4.2675918469852725__Zach Jackson
4.267825893314342__Federico Polanco
4.26821480646979__Vladimir Echavarria
4.268465828274927__Greg Lambert
4.269429513310163__Julio Rene
4.269608626974406__Christoph Bono
4.270557588890735__Kevin Zamudio
4.27060510037095__Cristian Olivo
4.270678084606416__Jhon Sandoval
4.2711411776970145__Kember Nacero
4.271289902254148__Rolando Espinosa
4.271705923944113__Sandy Martinez
4.271759932051173__Richard Caraballo
4.2720094228559224__Frank Gonzalez
4.273006302208362__Ernesto Adames
4.273342129245089__Junior Perez
4.274259993264946__Johampher Arrendoll
4.274645097915267__Aldo Ovando
4.274649064088726__Luis Diaz
4.275033867545178__Jeury Castillo
4.275241274000517__Roger Marmol
4.27541250793814__Jepherson Garcia
4.27554702219015__Brayan Gonzalez
4.275774148050711__Jason Pineda
4.276057919205872__Enmanuel Guitian
4.276535418515376__Carlos Baez
4.27668946348563__Giuseppe Peguero
4.276859972359727__Nicholas Shumpert
4.2773456095967335__Jhoander Saez
4.277660200464005__Kevin Aponte
4.277763596900308__Ranser Amador
4.277789174393138__Leuri Mejia
4.277791570808314__Jordy Barley
4.277997738711952__Brandon Valenzuela
4.278284376113248__Jose Pereira
4.278469825893123__Luis Perez
4.2785274388951136__Jose Bonilla
4.278923193903736__Jair Camargo
4.279152850913011__Ellian Rondon
4.279220849969432__Yefri Carrillo
4.279236193687567__Saul Fortuna
4.279326001905503__Jhoneiker Betancourt
4.279328822193534__Luis Yanel Diaz
4.279689050073261__Jonatan Mezquita
4.2800414963728315__Ronal Reynoso
4.280168393690838__Malvin Nunez
4.280563761205319__Ulises Martinez
4.280641735714128__Juan Zabala
4.280825831282455__Angeddy Almanzar
4.280847164082023__Jose Mena
4.281457434181048__Roberto Molina
4.281736374485905__Yordin Araujo
4.281833272983069__Kyle Simmons
4.28193188297235__Brody Westmoreland
4.282129941602712__Edwin Yon
4.282139400020095__Guarner Dipre
4.282174487277143__Jose Peroza
4.28217543665343__Skeiling Rodriguez
4.2822339997717425__Reidy Mercado
4.2824909677368925__Jesus Severino
4.282496739115789__Samy Apolinar
4.283051857824331__Jesus Graterol
4.283160790208542__Hagen Danner
4.283174858539367__Franklin Reyes
4.283346049922656__Yeuris Ramirez
4.283438536477107__Jaquez Williams
4.283504804855186__Alexander Samuel
4.283693609707639__Christian Andrade
4.2837080244827686__Hunter Jarmon
4.28384676171734__Eliezel Stevens
4.283909401938143__Isaiah Henry
4.283966502810235__Jean Pena
4.284186415493863__Carlos Paraguate
4.28444953505249__Chandler Seagle
4.284546317493572__Antony Morillo
4.284636351617321__Jose Reyes
4.284841476264555__Xionel Garcia
4.285176742825637__Nestor Heredia
4.285324906509516__Asdrubal Alvarez
4.285351288237866__Stir Candelario
4.285560359745551__Juan De La Rosa
4.285577826705186__Satchel McElroy
4.2857282258234095__Kevin Torres
4.285902654278563__Johan De Jesus
4.285912783333616__Anthony Garcia
4.286211323818547__Victor Alfonso
4.286307491406106__Kenny Hernandez
4.286404155718741__Neyfy Castillo
4.286542214819625__Jonny Homza
4.286739347683435__Mani Boekhoudt
4.286789353973645__Sebastian Espino
4.2868258571108235__Christopher Quintin
4.2868258571108235__Hector Martinez
4.28684683103576__Andrew Caraballo
4.286949573615178__Marco Valenzuela
4.286990050556991__Diego Infante
4.2870704981860595__Jhoandro Alfaro
4.287111584253082__Pedro Diaz
4.2871121758597885__Luis Rodriguez
4.287152359659912__Nick Egnatuk
4.28745070116304__Anderson Melendez
4.2875507787322205__Robert Molina
4.2876752224030215__Gaspar Palacio
4.287879821812693__Jose Sandoval
4.288122535418606__Brayant Nova
4.288129647910975__Gianpaul Gonzalez
4.288260335663569__Miller Chacon
4.288270127100581__Noah Vaughan
4.288684677369215__Jorbit Vivas
4.2887079905775405__Kevin Maitan
4.288714927866083__Eulises Sanchez
4.288759169985935__Urwin Juaquin
4.288883621391173__Nishell Gutierrez
4.288919111587845__Nicholas Vizcaino
4.288919111587845__Nolan Perez
4.289009533702581__Danny Lantigua
4.289129746796073__Miguel Perez
4.289407978583975__Hector Martinez
4.289423262747552__Donivan Williams
4.289460632817874__Alexander Santana
4.28951097297492__Jose Del Palacio
4.289595188522517__Gilberto Vizcarra
4.289620182013748__Osmy Gregorio
4.289731000741025__Luis Aquino
4.289989595546466__Raymond Pena
4.29027159841543__Felix Fernandez
4.290376285183546__Denis Karas
4.290429004124294__Cristopher Pujols
4.290535554252757__Juan Batista
4.290587033010254__Raymond Lopez
4.290605103542376__Nick Gatewood
4.29066540765429__Mike Torres
4.290755720110316__Eudis Lora
4.291207334830208__Jefferson Encarnacion
4.291278648945558__Ivan Houellemont
4.291483855600941__Julio De La Cruz
4.291514484897894__Emmanuel Guerra
