2011,AL,KCA,KC,C,4,81,N,N,N,N,Kansas City Royals,Kauffman Stadium,1724450,101,101,KC,KCA,KCA
2011,AL,LAA,LAA,W,2,81,N,N,N,N,Los Angeles Angels of Anaheim,Angel Stadium,3166321,93,93,LAA,LAA,LAA
2011,NL,LAN,LAD,W,3,81,N,N,N,N,Los Angeles Dodgers,Dodger Stadium,2935139,98,98,LAD,LAN,LAN
2011,NL,MIL,MIL,C,1,81,Y,N,N,N,Milwaukee Brewers,Miller Park,3071373,103,102,MIL,ML4,MIL
2011,AL,MIN,MIN,C,5,81,N,N,N,N,Minnesota Twins,Target Field,3168116,95,97,MIN,MIN,MIN
2011,AL,NYA,NYY,E,1,81,Y,N,N,N,New York Yankees,Yankee Stadium III,3653680,108,106,NYY,NYA,NYA
2011,NL,NYN,NYM,E,4,81,N,N,N,N,New York Mets,Citi Field,2352596,98,98,NYM,NYN,NYN
2011,AL,OAK,OAK,W,3,81,N,N,N,N,Oakland Athletics,Oakland-Alameda County Coliseum,1476791,97,98,OAK,OAK,OAK
2011,NL,PHI,PHI,E,1,81,Y,N,N,N,Philadelphia Phillies,Citizens Bank Park,3680718,105,103,PHI,PHI,PHI
2011,NL,PIT,PIT,C,4,81,N,N,N,N,Pittsburgh Pirates,PNC Park,1940429,96,97,PIT,PIT,PIT
2011,NL,SDN,SD,W,5,81,N,N,N,N,San Diego Padres,Petco Park,2143018,92,92,SD,SDN,SDN
2011,AL,SEA,SEA,W,4,84,N,N,N,N,Seattle Mariners,Safeco Field,1939421,94,95,SEA,SEA,SEA
2011,NL,SFN,SF,W,2,81,N,N,N,N,San Francisco Giants,AT&T Park,3387303,89,89,SF,SFN,SFN
2011,NL,SLN,STL,C,2,81,N,Y,Y,Y,St. Louis Cardinals,Busch Stadium III,3093954,95,94,STL,SLN,SLN
2011,AL,TBA,TB,E,2,81,N,Y,N,N,Tampa Bay Rays,Tropicana Field,1529188,92,92,TBR,TBA,TBA
2011,AL,TEX,TEX,W,1,81,Y,N,Y,N,Texas Rangers,Rangers Ballpark in Arlington,2946949,117,115,TEX,TEX,TEX
2011,AL,TOR,TOR,E,4,81,N,N,N,N,Toronto Blue Jays,Rogers Centre,1818103,104,104,TOR,TOR,TOR
2011,NL,WAS,WAS,E,3,80,N,N,N,N,Washington Nationals,Nationals Park,1940478,100,100,WAS,MON,WAS
2012,NL,ARI,ARI,W,3,81,N,N,N,N,Arizona Diamondbacks,Chase Field,2177617,105,106,ARI,ARI,ARI
2012,NL,ATL,ATL,E,2,81,N,Y,N,N,Atlanta Braves,Turner Field,2420171,102,101,ATL,ATL,ATL
